ID	QUANTIA_PAGA
10090	1.81
10015	-1214151581851.21518818181
10052	31.43
10016	18.22
10044	15.8
11111	10.3
10061	34.69
10087	11.29
10015	5.41
10093	24.10
10045	2.79
10051	48.26
10097	24.19
10086	28.60
10056	45.9
10077	19.24
10052	41.20
10098	2.57
10007	12.73
10016	15.96
10050	49.46
10031	15.11
10040	19.6
10048	28.64
10028	45.65
10022	13.99
10019	46.65
10050	16.6
10000	44.77
10022	4.50
10017	3.67
10025	34.0
10029	15.73
10097	4.6
10010	16.1
10022	33.53
10088	33.31
10015	7.7
10061	18.87
10007	12.24
10047	29.82
10064	35.31
10079	39.8
10081	49.90
10049	6.17
10035	49.46
10045	18.84
10059	47.5
10097	24.66
10003	47.72
10086	33.74
10034	8.28
10054	33.71
10040	13.52
10022	34.59
10041	26.19
10018	6.19
10006	10.45
10051	18.59
10080	2.69
10002	26.33
10002	27.29
10089	24.85
10053	15.92
10067	17.34
10055	23.65
10040	17.75
10015	35.78
10016	48.92
10097	27.49
10021	4.99
10065	47.40
10009	40.52
10056	36.55
10087	2.85
10038	19.19
10028	34.16
10043	10.76
10087	16.90
10062	17.57
10054	43.24
10026	1.8
10072	25.54
10005	37.15
10073	27.14
10052	35.60
10014	38.56
10074	9.73
10052	12.21
10062	30.86
10025	4.65
10049	15.60
10075	15.11
10028	44.85
10040	15.23
10068	49.36
10089	6.98
10094	25.27
10043	43.66
10004	21.81
10079	5.64
10048	27.40
10007	37.57
10020	5.89
10005	48.87
10079	17.72
10073	3.52
10089	40.36
10068	35.26
10095	36.51
10081	29.55
10097	48.62
10079	24.17
10033	27.37
10031	9.43
10062	10.64
10030	29.9
10033	23.63
10092	14.72
10049	20.17
10086	31.18
10092	18.42
10096	47.87
10016	46.26
10006	37.64
10007	30.1
10066	46.51
10094	27.22
10012	4.42
10074	21.76
10080	8.52
10016	35.1
10016	25.36
10020	36.1
10099	42.99
10097	43.26
10064	24.65
10091	49.87
10000	32.97
10083	14.98
10009	22.94
10008	18.74
10049	18.71
10038	7.21
10029	16.7
10070	43.51
10063	11.68
10058	24.22
10072	24.44
10092	49.99
10024	42.46
10090	49.34
10081	42.48
10065	38.75
10009	11.70
10085	1.31
10057	24.19
10078	30.62
10056	16.70
10035	46.49
10096	34.17
10036	11.30
10074	24.75
10021	41.88
10001	41.91
10076	47.19
10077	8.97
10019	17.26
10018	31.11
10055	35.51
10019	12.3
10097	45.70
10059	48.18
10096	13.55
10084	4.74
10037	41.58
10054	7.85
10065	29.51
10039	17.58
10031	6.88
10045	30.6
10022	19.47
10026	48.21
10036	25.40
10008	19.87
10055	8.0
10001	18.78
10005	34.63
10041	16.51
10021	15.76
10026	29.15
10009	40.37
10030	5.61
10091	6.71
10078	9.70
10067	6.53
10001	50.32
10062	16.34
10007	8.8
10051	11.30
10034	16.76
10065	45.6
10078	33.38
10092	49.65
10061	8.69
10061	37.40
10089	31.77
10060	38.69
10013	40.98
10011	47.45
10068	39.74
10092	20.31
10095	45.69
10013	47.50
10064	35.89
10083	28.81
10040	50.93
10092	17.75
10008	13.30
10021	34.50
10004	9.22
10030	17.35
10056	9.10
10008	6.98
10099	3.75
10050	38.55
10082	28.95
10099	40.0
10076	26.60
10066	11.24
10015	21.76
10090	27.17
10090	39.11
10098	48.2
10017	5.82
10059	44.32
10091	49.57
10039	43.16
10036	48.80
10079	5.73
10001	49.35
10081	36.7
10020	44.85
10008	25.26
10002	34.41
10039	34.19
10088	14.6
10003	31.59
10053	4.69
10013	14.11
10066	14.67
10050	42.47
